PurchaseID,Item,Date
1,tropical fruit,7/21/15
1,rolls/buns,7/21/15
1,candy,7/21/15
2,whole milk,5/1/15
2,tropical fruit,5/1/15
2,chocolate,5/1/15
3,pip fruit,9/19/15
3,other vegetables,9/19/15
3,flour,9/19/15
4,other vegetables,12/12/15
4,onions,12/12/15
4,shopping bags,12/12/15
5,whole milk,1/2/15
5,other vegetables,1/2/15
5,white bread,1/2/15
6,rolls/buns,2/14/15
6,citrus fruit,2/14/15
6,fruit/vegetable juice,2/14/15
7,other vegetables,8/5/15
7,bottled water,8/5/15
7,shopping bags,8/5/15
8,pot plants,12/23/15
8,citrus fruit,12/23/15
8,whipped/sour cream,12/23/15
9,whole milk,3/20/15
9,specialty bar,3/20/15
9,newspapers,3/20/15
10,tropical fruit,12/2/15
10,citrus fruit,12/2/15
10,soda,12/2/15
11,citrus fruit,2/24/15
11,rolls/buns,2/24/15
11,pastry,2/24/15
12,beef,4/14/15
12,bottled beer,4/14/15
12,specialty chocolate,4/14/15
12,yogurt,4/14/15
12,whole milk,4/14/15
13,frankfurter,7/21/15
13,soda,7/21/15
13,canned beer,7/21/15
13,white bread,7/21/15
13,brown bread,7/21/15
14,chicken,3/9/15
14,tropical fruit,3/9/15
14,waffles,3/9/15
14,whipped/sour cream,3/9/15
14,brown bread,3/9/15
15,butter,7/21/15
15,other vegetables,7/21/15
15,soda,7/21/15
15,yogurt,7/21/15
15,UHT-milk,7/21/15
16,fruit/vegetable juice,3/30/15
16,hamburger meat,3/30/15
16,soft cheese,3/30/15
16,specialty chocolate,3/30/15
16,bottled water,3/30/15
17,packaged fruit/vegetables,3/5/15
17,fish,3/5/15
17,frozen meals,3/5/15
17,specialty chocolate,3/5/15
17,brown bread,3/5/15
18,chocolate,2/9/15
18,frankfurter,2/9/15
18,yogurt,2/9/15
18,margarine,2/9/15
18,canned vegetables,2/9/15
19,specialty bar,3/8/15
19,yogurt,3/8/15
19,napkins,3/8/15
19,other vegetables,3/8/15
19,chocolate,3/8/15
20,other vegetables,7/7/15
20,tropical fruit,7/7/15
20,seasonal products,7/7/15
20,butter,7/7/15
20,shopping bags,7/7/15
21,butter milk,8/9/15
21,meat,8/9/15
21,curd,8/9/15
21,soda,8/9/15
21,long life bakery product,8/9/15
22,whole milk,12/11/15
22,bottled water,12/11/15
22,chicken,12/11/15
22,citrus fruit,12/11/15
22,canned vegetables,12/11/15
23,tropical fruit,9/18/15
23,hamburger meat,9/18/15
23,coffee,9/18/15
23,sliced cheese,9/18/15
23,whipped/sour cream,9/18/15
24,tropical fruit,11/30/15
24,meat,11/30/15
24,other vegetables,11/30/15
24,domestic eggs,11/30/15
24,baking powder,11/30/15
25,bottled water,7/17/15
25,frankfurter,7/17/15
25,tropical fruit,7/17/15
25,liquor,7/17/15
25,specialty chocolate,7/17/15
26,yogurt,12/6/15
26,chicken,12/6/15
26,liquor,12/6/15
26,chewing gum,12/6/15
26,soda,12/6/15
27,sausage,2/13/15
27,chicken,2/13/15
27,domestic eggs,2/13/15
27,curd,2/13/15
27,pastry,2/13/15
28,other vegetables,1/14/15
28,salty snack,1/14/15
28,syrup,1/14/15
28,newspapers,1/14/15
28,oil,1/14/15
29,brown bread,8/3/15
29,whole milk,8/3/15
29,spread cheese,8/3/15
29,butter,8/3/15
29,fruit/vegetable juice,8/3/15
30,yogurt,1/27/15
30,rolls/buns,1/27/15
30,fruit/vegetable juice,1/27/15
30,spices,1/27/15
30,canned fish,1/27/15
31,hamburger meat,10/22/15
31,beef,10/22/15
31,bottled beer,10/22/15
31,whole milk,10/22/15
31,chocolate,10/22/15
32,root vegetables,10/26/15
32,citrus fruit,10/26/15
32,other vegetables,10/26/15
32,pork,10/26/15
32,herbs,10/26/15
33,pork,8/10/15
33,chicken,8/10/15
33,other vegetables,8/10/15
33,curd,8/10/15
33,hard cheese,8/10/15
34,beef,3/10/15
34,citrus fruit,3/10/15
34,napkins,3/10/15
34,semi-finished bread,3/10/15
34,brown bread,3/10/15
35,pastry,11/4/15
35,bottled water,11/4/15
35,dishes,11/4/15
35,whole milk,11/4/15
35,canned beer,11/4/15
36,fruit/vegetable juice,2/21/15
36,sausage,2/21/15
36,domestic eggs,2/21/15
36,seasonal products,2/21/15
37,canned beer,9/29/15
37,pip fruit,9/29/15
37,frozen vegetables,9/29/15
37,dessert,9/29/15
37,canned vegetables,9/29/15
38,root vegetables,9/1/15
38,frankfurter,9/1/15
38,specialty bar,9/1/15
38,packaged fruit/vegetables,9/1/15
38,hygiene articles,9/1/15
39,citrus fruit,3/4/15
39,ham,3/4/15
39,red/blush wine,3/4/15
39,rolls/buns,3/4/15
39,specialty chocolate,3/4/15
40,sausage,4/20/15
40,butter,4/20/15
40,specialty bar,4/20/15
40,soda,4/20/15
40,whipped/sour cream,4/20/15
41,tropical fruit,4/8/15
41,pork,4/8/15
41,cream cheese ,4/8/15
41,UHT-milk,4/8/15
41,butter milk,4/8/15
42,berries,7/19/15
42,pork,7/19/15
42,whole milk,7/19/15
42,frozen vegetables,7/19/15
42,domestic eggs,7/19/15
43,canned beer,6/10/15
43,citrus fruit,6/10/15
43,rolls/buns,6/10/15
43,condensed milk,6/10/15
43,skin care,6/10/15
44,butter milk,10/16/15
44,canned beer,10/16/15
44,yogurt,10/16/15
44,semi-finished bread,10/16/15
44,margarine,10/16/15
45,coffee,6/6/15
45,berries,6/6/15
45,grapes,6/6/15
45,cream cheese ,6/6/15
45,cat food,6/6/15
46,pastry,9/26/15
46,condensed milk,9/26/15
46,rice,9/26/15
46,tropical fruit,9/26/15
46,chocolate marshmallow,9/26/15
47,rolls/buns,8/15/15
47,chicken,8/15/15
47,whipped/sour cream,8/15/15
47,canned beer,8/15/15
47,baking powder,8/15/15
48,misc. beverages,5/21/15
48,rolls/buns,5/21/15
48,frozen vegetables,5/21/15
48,beverages,5/21/15
48,condensed milk,5/21/15
49,root vegetables,8/25/15
49,pork,8/25/15
49,soda,8/25/15
49,coffee,8/25/15
49,pastry,8/25/15
50,sausage,11/3/15
50,whole milk,11/3/15
50,other vegetables,11/3/15
50,semi-finished bread,11/3/15
50,yogurt,11/3/15
51,canned beer,1/2/15
51,root vegetables,1/2/15
51,whole milk,1/2/15
51,newspapers,1/2/15
52,ham,5/6/15
52,chicken,5/6/15
52,condensed milk,5/6/15
52,other vegetables,5/6/15
52,whipped/sour cream,5/6/15
53,turkey,7/28/15
53,root vegetables,7/28/15
53,frozen meals,7/28/15
53,soda,7/28/15
53,spread cheese,7/28/15
54,whole milk,5/9/15
54,tropical fruit,5/9/15
54,root vegetables,5/9/15
54,Instant food products,5/9/15
54,margarine,5/9/15
55,whole milk,3/4/15
55,root vegetables,3/4/15
55,sausage,3/4/15
55,frozen vegetables,3/4/15
55,chocolate,3/4/15
56,packaged fruit/vegetables,6/19/15
56,chewing gum,6/19/15
56,ham,6/19/15
56,condensed milk,6/19/15
56,soda,6/19/15
57,rolls/buns,7/28/15
57,root vegetables,7/28/15
57,bottled beer,7/28/15
57,yogurt,7/28/15
57,pickled vegetables,7/28/15
58,ham,11/10/15
58,chicken,11/10/15
58,canned beer,11/10/15
58,other vegetables,11/10/15
58,napkins,11/10/15
59,rolls/buns,6/16/15
59,canned beer,6/16/15
59,tropical fruit,6/16/15
59,chewing gum,6/16/15
59,margarine,6/16/15
60,other vegetables,1/20/15
60,whole milk,1/20/15
60,brown bread,1/20/15
60,hard cheese,1/20/15
60,waffles,1/20/15
61,sausage,3/20/15
61,citrus fruit,3/20/15
61,butter,3/20/15
61,specialty bar,3/20/15
61,salty snack,3/20/15
62,sausage,2/15/15
62,bottled beer,2/15/15
62,onions,2/15/15
62,other vegetables,2/15/15
62,soda,2/15/15
63,frankfurter,4/13/15
63,whole milk,4/13/15
63,grapes,4/13/15
63,butter,4/13/15
63,semi-finished bread,4/13/15
64,rolls/buns,7/2/15
64,onions,7/2/15
64,butter,7/2/15
64,whole milk,7/2/15
65,whole milk,2/3/15
65,sausage,2/3/15
65,root vegetables,2/3/15
65,long life bakery product,2/3/15
65,frozen vegetables,2/3/15
66,curd cheese,3/14/15
66,other vegetables,3/14/15
66,herbs,3/14/15
66,fruit/vegetable juice,3/14/15
66,zwieback,3/14/15
67,red/blush wine,12/22/15
67,bottled beer,12/22/15
67,yogurt,12/22/15
67,pip fruit,12/22/15
67,mustard,12/22/15
68,sausage,1/7/15
68,whole milk,1/7/15
68,misc. beverages,1/7/15
68,specialty bar,1/7/15
68,soda,1/7/15
69,tropical fruit,3/11/15
69,yogurt,3/11/15
69,pip fruit,3/11/15
70,red/blush wine,4/14/15
70,sausage,4/14/15
70,soda,4/14/15
70,whole milk,4/14/15
70,rolls/buns,4/14/15
71,whole milk,9/29/15
71,specialty chocolate,9/29/15
71,bottled beer,9/29/15
71,canned beer,9/29/15
71,rolls/buns,9/29/15
72,frankfurter,12/4/15
72,zwieback,12/4/15
72,other vegetables,12/4/15
72,liquor,12/4/15
72,bottled water,12/4/15
73,whole milk,5/5/15
73,frozen vegetables,5/5/15
73,bottled beer,5/5/15
73,specialty cheese,5/5/15
73,chewing gum,5/5/15
74,frozen potato products,12/5/15
